Country Name;Country Code;Time;Time Code;Agriculture, forestry, and fishing, value added (% of GDP);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Exports of goods and services (% of GDP);GDP (current US$);GDP growth (annual %);GNI per capita, Atlas method (current US$);GNI, Atlas method (current US$);Inflation, GDP deflator (annual %);Life expectancy at birth, total (years);Mortality rate, under-5 (per 1,000 live births);Population, total;Urban population growth (annual %);Electric power consumption (kWh per capita);Population growth (annual %)
Argentina;ARG;2000;YR2000;4.679910944;10.39956336;3.56791849;10.98637523;2.84204E+11;-0.788998939;7430;2.75544E+11;1.037287101;73.926;19.7;37070774;1.346646898;2077.539573;1.133277022
Argentina;ARG;2001;YR2001;4.568589609;10.62750778;3.341877067;11.57900808;2.68697E+11;-4.408839683;6960;2.60812E+11;-1.095767718;74.186;19;37480493;1.308731698;2108.990402;1.09917146
Argentina;ARG;2002;YR2002;10.20664671;10.85545221;3.100488668;28.382597;97724004252;-10.89448483;4020;1.52402E+11;30.55520405;74.408;18.3;37885028;1.275955188;2003.667517;1.07353835
Argentina;ARG;2003;YR2003;10.32816694;11.08339664;3.334890879;25.93094293;1.27587E+11;8.837040796;3640;1.39193E+11;10.49570302;74.08;17.7;38278164;1.228792108;2169.487544;1.032360859
Argentina;ARG;2004;YR2004;8.36248661;11.31134106;3.65608487;23.84761942;1.64658E+11;9.029573301;3360;1.29809E+11;18.36335425;74.855;17.1;38668796;1.209159175;2282.822563;1.015336684
Argentina;ARG;2005;YR2005;7.938754274;11.53928549;3.736716865;23.24587673;1.98737E+11;8.85165992;4240;1.65719E+11;10.3175112;75.139;16.6;39070501;1.223592348;2397.486533;1.033476224
Argentina;ARG;2006;YR2006;6.935572291;11.76722992;3.924261841;23.0266946;2.32557E+11;8.0471515;5460;2.15445E+11;13.74105249;75.433;16.1;39476851;1.222209318;2362.853106;1.034671736
Argentina;ARG;2007;YR2007;7.452353946;11.99517435;4.083151439;22.66275031;2.87531E+11;9.007650875;6480;2.58429E+11;14.93992502;75.006;15.7;39876111;1.190161258;2443.844135;1.006297331
Argentina;ARG;2008;YR2008;7.318954597;12.22311877;4.15237521;22.06090038;3.61558E+11;4.057233103;7630;3.07364E+11;23.17116498;75.641;15.4;40273769;1.173614884;2759.51327;0.992294094
Argentina;ARG;2009;YR2009;5.273623469;12.4510632;3.848348227;19.56098506;3.32976E+11;-5.918525076;7760;3.15586E+11;15.37764937;75.936;15;40684338;1.191967816;2716.598215;1.014283893
Argentina;ARG;2010;YR2010;7.132167451;12.67900763;4.09984414;18.93382341;4.23627E+11;10.12539816;9270;3.78241E+11;20.91512427;75.721;14.5;40788453;0.429649599;2877.652653;0.255582398
Argentina;ARG;2011;YR2011;6.99873377;12.90753425;4.281028145;18.44920915;5.30158E+11;6.003951693;10710;4.42036E+11;23.70347218;76.124;13.9;41261490;1.308141316;2929.075029;1.15305928
